Age group,Total cases (N),Female cases (N),Male cases (N),Total rate (95% CI),Female rate (95% CI),Male rate (95% CI)
0-4,2,1,1,0.01 (0.00–0.05),0.01 (0.00–0.07),0.01 (0.00–0.07)
5-9,17,9,8,0.11 (0.06–0.17),0.11 (0.05–0.22),0.10 (0.04–0.19)
10-14,38,25,13,0.23 (0.16–0.32),0.31 (0.20–0.46),0.16 (0.08–0.27)
15-19,206,120,86,1.21 (1.05–1.38),1.43 (1.19–1.71),0.99 (0.79–1.22)
20-24,426,262,164,2.27 (2.06–2.49),2.83 (2.50–3.19),1.72 (1.46–2.00)
25-29,641,410,231,3.27 (3.02–3.54),4.24 (3.84–4.68),2.33 (2.04–2.65)
30-34,619,421,198,3.27 (3.02–3.54),4.50 (4.08–4.95),2.07 (1.79–2.38)
35-39,493,332,161,2.79 (2.55–3.05),3.78 (3.38–4.21),1.81 (1.54–2.11)
40-44,388,290,98,2.31 (2.09–2.55),3.45 (3.06–3.87),1.17 (0.95–1.42)
45-49,357,236,121,2.21 (1.99–2.45),2.89 (2.54–3.29),1.52 (1.26–1.81)
50-54,230,164,66,1.51 (1.32–1.72),2.11 (1.80–2.46),0.89 (0.69–1.13)
55-59,157,114,43,1.14 (0.97–1.33),1.60 (1.32–1.92),0.64 (0.47–0.87)
60-64,79,55,24,0.68 (0.54–0.84),0.90 (0.68–1.17),0.43 (0.28–0.64)
65-69,53,40,13,0.57 (0.43–0.75),0.81 (0.58–1.10),0.30 (0.16–0.52)
70-74,21,16,5,0.31 (0.19–0.47),0.42 (0.24–0.69),0.16 (0.05–0.38)
75-79,5,3,2,0.10 (0.03–0.24),0.11 (0.02–0.31),0.10 (0.01–0.35)
80+,5,3,2,0.08 (0.03–0.18),0.07 (0.01–0.21),0.09 (0.01–0.31)
