Age group,Total cases (N),Female cases (N),Male cases (N),Total rate (95% CI),Female rate (95% CI),Male rate (95% CI)
0-4,2,1,1,0.17 (0.02–0.61),0.17 (0.00–0.96),0.17 (0.00–0.93)
5-9,17,9,8,1.37 (0.80–2.19),1.48 (0.67–2.80),1.26 (0.55–2.49)
10-14,44,26,18,3.39 (2.46–4.55),4.08 (2.66–5.98),2.72 (1.61–4.31)
15-19,226,135,91,18.29 (15.99–20.84),22.24 (18.64–26.32),14.49 (11.66–17.78)
20-24,451,278,173,33.66 (30.63–36.92),42.15 (37.34–47.40),25.43 (21.78–29.52)
25-29,676,436,240,43.44 (40.23–46.85),56.85 (51.64–62.45),30.41 (26.69–34.51)
30-34,666,453,213,38.96 (36.06–42.03),53.76 (48.92–58.95),24.57 (21.38–28.10)
35-39,546,367,179,36.04 (33.08–39.19),49.06 (44.17–54.35),23.34 (20.04–27.02)
40-44,423,316,107,30.21 (27.40–33.23),45.42 (40.55–50.72),15.18 (12.44–18.35)
45-49,394,263,131,29.64 (26.78–32.72),39.44 (34.82–44.51),19.77 (16.53–23.46)
50-54,252,183,69,20.50 (18.05–23.20),29.35 (25.26–33.93),11.39 (8.86–14.42)
55-59,163,117,46,13.63 (11.62–15.89),19.05 (15.75–22.83),7.90 (5.79–10.54)
60-64,75,53,22,7.05 (5.55–8.84),9.55 (7.16–12.50),4.33 (2.71–6.55)
65-69,56,42,14,6.25 (4.72–8.11),8.80 (6.34–11.90),3.34 (1.83–5.60)
70-74,21,17,4,3.08 (1.90–4.70),4.56 (2.66–7.30),1.29 (0.35–3.30)
75-79,7,5,2,1.49 (0.60–3.06),1.87 (0.61–4.37),0.98 (0.12–3.54)
80+,4,3,1,0.65 (0.18–1.67),0.77 (0.16–2.25),0.45 (0.01–2.48)
