Region,"Crude prevalence (per 100,000)","Age-standardized prevalence (per 100,000)",Latitude (°S)
De Tarapacá,4.98,10.16,20.2
De Antofagasta,11.06,12.18,23.6
De Atacama,10.66,21.62,27.4
De Coquimbo,9.55,12.79,30.0
De Valparaíso,14.02,17.85,32.9
Del Libertador B. O'Higgins,11.2,15.73,34.6
Del Maule,10.67,14.56,35.5
Del Bíobío,15.7,23.47,37.4
De La Araucanía,14.3,22.27,38.5
De Los Lagos,13.78,16.18,41.5
De Aisén del Gral. C. Ibáñez del Campo,12.0,26.28,
De Magallanes y de La Antártica Chilena,39.51,50.93,53.2
Metropolitana de Santiago,30.08,30.91,33.5
De Los Ríos,16.29,23.15,40.0
De Arica y Parinacota,2.31,8.0,18.5
De Ñuble,14.63,22.18,36.7
